seed,episode,total_steps,return
123,1,90,-302.0047415635817
123,2,181,-330.1134495571382
123,3,394,-327.00471270496877
123,4,532,-188.6000790175569
123,5,618,-273.2151644482088
123,6,711,-520.2417935293254
123,7,836,-148.87649444913168
123,8,914,-65.65409084494333
123,9,983,-84.81511947266253
123,10,1167,-344.2200598181044
123,11,1314,-74.46966390499215
123,12,1422,-75.79488475044275
123,13,1592,-582.5627711687923
123,14,1730,-331.3004896247261
123,15,1833,-410.9044675455938
123,16,1941,-46.66835319890575
123,17,2044,-363.73103736721777
123,18,2129,-245.7865049320108
123,19,2315,-454.29694988744154
123,20,2495,-288.78833059784154
123,21,2677,-314.88328612015187
123,22,2775,-91.00358593971492
123,23,2944,-278.60954403686685
123,24,3113,-8.675267556348032
123,25,3200,-47.92896469910952
123,26,3290,-175.28070045460572
123,27,3380,-214.25685310573908
123,28,3488,-182.3880603242356
123,29,3611,-104.59168903989827
123,30,3743,-257.28973613000625
123,31,3899,-491.6013690260268
123,32,4007,-99.4611066460251
123,33,4140,21.15149215001061
123,34,4362,-181.92364115827655
123,35,4567,-340.330650027498
123,36,4670,-322.5158394390051
123,37,4878,-123.53142951913071
123,38,5155,-356.08840185800807
123,39,5284,-259.3666092727051
123,40,5493,-375.6936650688452
123,41,5618,-290.34036083137187
123,42,5785,-168.9841813367392
123,43,5933,-302.14696018929
123,44,6100,-322.3221846785244
123,45,6213,13.622744427455672
123,46,6308,-232.13826948865488
123,47,6443,-342.3637616524891
123,48,6534,-249.5492195605353
123,49,6675,-168.81548040650534
123,50,6809,-199.04528227654032
123,51,6889,-53.3540376630275
123,52,7056,-330.3270330302313
123,53,7280,-260.11146482514727
123,54,8280,35.09017581296303
123,55,8526,-186.75413585609283
123,56,8721,-364.36680198256727
123,57,8861,-493.02083536354417
123,58,9143,-477.9204471594945
123,59,9364,-477.37842577375045
123,60,9532,-464.9700476370001
123,61,9712,-382.9040537854817
123,62,9800,-164.9609388301434
123,63,9896,-281.845249943784
123,64,10046,-252.87028323002272
123,65,10198,-355.0356350078309
123,66,10340,-334.6876437531531
123,67,10487,-632.195619167064
123,68,10687,-472.3625326351559
123,69,10829,-493.8767050017393
123,70,10967,-218.72323497443853
123,71,11200,-530.5000208238478
123,72,11311,-421.5153062768494
123,73,11454,-437.81525625760185
123,74,11594,-275.8890672580003
123,75,11715,-95.7348427857738
123,76,11863,-348.25425653375225
123,77,12113,-550.823808118243
123,78,12283,-214.7338342209788
123,79,12372,-26.892615494198253
123,80,12529,-281.4556544760739
123,81,12708,-440.58954909346585
123,82,12807,-168.69929977625856
123,83,12982,-211.46367820259252
123,84,13066,-151.4352991627248
123,85,13243,-295.1165748037074
123,86,13382,-41.45277657680482
123,87,13478,-188.30666219382323
123,88,13587,-225.69697087281472
123,89,13757,-183.703372349151
123,90,13940,-377.6264233107521
123,91,14070,-234.39387122869985
123,92,14185,-183.99994375942597
123,93,14325,-305.77363472782474
123,94,14563,-440.05309144252533
123,95,14735,-203.49761099227126
123,96,14956,-475.59473045668403
123,97,15102,-323.00981586319637
123,98,15292,-338.86809591443364
123,99,15463,-253.24375025959276
123,100,15568,-66.11661577072178
123,101,16568,8.762812957630063
123,102,16869,-466.41990486301427
123,103,17051,-348.8116130419095
123,104,17371,-302.70619047696084
123,105,17599,-261.50880536673714
123,106,17729,-189.07247142346327
123,107,17856,-461.0009977934141
123,108,18016,-123.52067730362651
123,109,18152,-202.5816317664714
123,110,18355,-379.21988260356324
123,111,18449,-340.8372373836406
123,112,18658,-400.7728860865088
123,113,18853,-332.60503011605766
123,114,19014,-198.28305351486557
123,115,19170,-208.26376838227804
123,116,19392,-461.7014965856691
123,117,19585,-264.110067843553
123,118,19755,-423.9812404613806
123,119,20115,-858.0942669830752
123,120,20258,-353.7459425927642
123,121,20413,-372.53764853871826
123,122,20667,-744.3630025551961
123,123,20817,-228.51822664627554
123,124,20934,-202.16830315727017
123,125,21093,-358.3089243086417
123,126,21297,-186.86580359747458
123,127,21481,-395.8321770607072
123,128,21655,-385.17165593667715
123,129,21778,-343.5988697418371
123,130,21937,-342.2864322901279
123,131,22169,-425.4582144207591
123,132,22318,-97.1922929211325
123,133,22576,-222.21275658564937
123,134,22695,-435.68804700458134
123,135,22888,-152.50089991219588
123,136,22977,-48.20654650814801
123,137,23335,-434.68655497964085
123,138,23518,-67.538467597947
123,139,23693,-251.77885969860722
123,140,24029,-331.410834370829
123,141,24312,-339.69974601603633
123,142,24542,-390.9918657084118
123,143,24727,-311.66598306069943
123,144,24901,-140.4422149141907
123,145,25126,-422.1912272981227
123,146,25256,-350.43848027979936
123,147,25442,-364.18190500807225
123,148,25549,-174.79040595331963
123,149,25645,-31.426076348213783
123,150,25759,-261.98616989755357
123,151,25938,-304.2655326689689
123,152,26077,-423.1197494026055
123,153,26188,-270.3064974672886
123,154,26343,-335.2019890185609
123,155,26473,-391.2679898919082
123,156,26663,-268.6721409549003
123,157,26752,-225.72042442310646
123,158,26861,-239.85820058088763
123,159,26994,-287.97280913937107
123,160,27144,-275.9401227663658
123,161,27245,-17.73073210326443
123,162,27451,-194.2512034819743
123,163,27658,8.51975078897513
123,164,27745,-58.899825024699126
123,165,27906,-322.56998520001696
123,166,28061,-40.651453725511686
123,167,28165,-248.94808885337363
123,168,28315,-366.7444626683716
123,169,28454,-249.6444826320067
123,170,28656,-293.4693192482439
123,171,28766,-264.7900527441425
123,172,28868,-201.33688452156483
123,173,28996,-453.02882297634983
123,174,29088,-40.684758380786235
123,175,29243,-287.03418716419094
123,176,29358,-76.0171273657937
123,177,29523,-501.73881149844317
123,178,29720,-274.0577324779547
123,179,29844,-215.42363374841517
123,180,29957,-368.2703323912024
123,181,30128,-133.30545495309136
123,182,30262,12.988822432771485
123,183,30366,-111.10881313362
123,184,30496,-215.9174463427084
123,185,30680,-337.05611934742114
123,186,30838,-310.67459849386205
123,187,31039,-227.78114744710152
123,188,31227,-17.362499652313716
123,189,31359,-203.985403308597
123,190,31487,-388.204118133479
123,191,31694,-593.19181356903
123,192,31807,-379.80706932451085
123,193,32024,-449.82239657977647
123,194,32216,-558.7028010618621
123,195,32429,-369.59739371075557
123,196,32563,-539.8138387975509
