seed,episode,total_steps,return
777,1,104,-454.93907130880643
777,2,206,-398.82004843272534
777,3,294,-139.58089135943573
777,4,381,-300.67082740918624
777,5,486,-188.85174884782083
777,6,603,-96.88956112385395
777,7,729,-49.89922292091777
777,8,875,-293.09519438428833
777,9,948,-203.7165231348025
777,10,1044,-133.52210867070295
777,11,1128,-138.83776227885417
777,12,1233,-325.0329122735313
777,13,1328,-321.93821368687844
777,14,1395,-97.48219571516486
777,15,1477,-121.70817260477514
777,16,1613,-364.3018563564682
777,17,1684,-113.48814977497791
777,18,1784,-133.81215143012173
777,19,1851,-63.82521250028405
777,20,1950,-92.99773837157922
777,21,2014,-58.404741439900356
777,22,2126,-29.420943018834777
777,23,2217,-99.55699626341361
777,24,2320,-294.37086890454316
777,25,2385,-114.30082968011294
777,26,2455,-304.8754270888708
777,27,2560,-291.55064316911717
777,28,2641,-47.14707368633586
777,29,2744,-262.1389639583795
777,30,2811,-80.40795559392242
777,31,2885,-283.5619875241092
777,32,2967,-150.45030723004834
777,33,3091,-124.40398983933945
777,34,3183,-352.63589178740654
777,35,3268,-132.34892121578557
777,36,3392,-293.6133131856882
777,37,3524,-96.69234225012434
777,38,3585,-109.89436695199423
777,39,3683,-224.2777924141039
777,40,3787,-210.65167999014773
777,41,3874,-144.42858751087118
777,42,3936,-71.96858700929157
777,43,4043,-345.6422010535982
777,44,4105,-86.40578862780197
777,45,4192,-229.27953206994727
777,46,4296,-177.133546204367
777,47,4397,-88.63921251643546
777,48,4486,-344.109289787218
777,49,4596,-104.53325867984857
777,50,4662,-230.34598929785292
777,51,4746,-87.36007548789723
777,52,4830,-264.5055230402472
777,53,4907,-141.2584398961122
777,54,4968,-85.09388003004364
777,55,5052,-89.31280428439858
777,56,5190,-352.53263049743555
777,57,5311,-106.92323945212557
777,58,5409,-167.76634815132405
777,59,5501,-94.2582270774308
777,60,5639,-136.01170496916342
777,61,5728,-91.56977469311909
777,62,5857,-63.22893014127084
777,63,5978,-237.4427875651177
777,64,6045,-133.28006499820833
777,65,6142,-248.09251493792772
777,66,6212,-94.67522385339561
777,67,6337,-126.60119952667563
777,68,6422,-99.49401413838052
777,69,6524,-62.14599733118588
777,70,6619,-168.3874830728006
777,71,6722,-345.62393371577434
777,72,6832,-140.06843723791502
777,73,6902,-85.51796210240808
777,74,7013,-124.36968212962915
777,75,7099,-94.01009230674072
777,76,7245,-79.15180096068629
777,77,7322,-409.9615761688928
777,78,7395,-64.45322980280777
777,79,7490,-449.53255149849196
777,80,7557,-50.3577909824796
777,81,7661,-333.61585239883516
777,82,7743,-83.03526611931517
777,83,7813,-70.34220605726793
777,84,7898,-100.34736701950386
777,85,8001,-137.7178054564008
777,86,8075,-73.48524579734342
777,87,8139,-118.98353099561389
777,88,8237,-142.14604817960372
777,89,8299,-78.490767840817
777,90,8370,-121.8045598847915
777,91,8483,-193.24184551548086
777,92,8560,-128.00015452008364
777,93,8636,-143.80492434126324
777,94,8725,-37.50700224300924
777,95,8806,-7.021418968259354
777,96,8885,-249.58374221712842
777,97,8973,-138.84335941910624
777,98,9040,-74.79805422018393
777,99,9171,-34.30517249288603
777,100,9296,-119.22490630230335
777,101,9369,-85.51170501131536
777,102,9453,-145.83025912229698
777,103,9535,-101.75135439243623
777,104,9601,-84.04113334574888
777,105,9746,-375.4315248002661
777,106,9876,-77.01166650052944
777,107,9966,0.7552009195856897
777,108,10062,-182.4321726812438
777,109,10183,-109.7595392388007
777,110,10286,-272.4927077216598
777,111,10365,-288.8643014389458
777,112,10462,-231.55645224133596
777,113,10546,-332.76212243123473
777,114,10612,-140.56733436571443
777,115,10677,-107.34684921463219
777,116,10783,-111.93522803511568
777,117,10877,-117.15869489053296
777,118,10971,-139.55179562352023
777,119,11060,-201.52627315468823
777,120,11137,-53.135452568004
777,121,11220,-88.95663277912493
777,122,11293,-82.95190843187288
777,123,11384,-83.8356810471208
777,124,11488,-324.34379140984237
777,125,11575,-223.07557557190984
777,126,11643,-69.37484150010377
777,127,11729,-135.03001152646664
777,128,11813,-177.24279307539132
777,129,11913,-224.68085536666774
777,130,12024,-443.00709458988973
777,131,12089,-141.06655651059444
777,132,12174,-106.34256920334462
777,133,12241,-114.37587099045385
777,134,12325,-77.31111781351993
777,135,12399,-85.05212784020955
777,136,12491,-127.62600070188162
777,137,12589,-90.92664741493974
777,138,12651,-149.19358141363233
777,139,12711,-99.49881911715111
777,140,12792,-104.99318439996155
777,141,12868,-51.63466630262882
777,142,12936,-103.51085058829156
777,143,13026,-97.9231814646255
777,144,13117,-310.3178851915515
777,145,13218,-255.73052236911457
777,146,13344,-142.09738843291828
777,147,13434,54.31083705378748
777,148,13543,-202.90202315027014
777,149,13606,-91.49572095818867
777,150,13698,-155.55115039122344
777,151,13773,-112.34003165851007
777,152,13861,-92.60100374033665
777,153,13982,-87.0292838898757
777,154,14051,-68.04125352675476
777,155,14120,-104.45649023252221
777,156,14202,-114.37561875791586
777,157,14284,-4.796727243081548
777,158,14345,-67.26063925041495
777,159,14438,-74.10605562218875
777,160,14522,7.744197338719417
777,161,14620,-105.56139583543396
777,162,14701,-84.99437527535898
777,163,14785,-187.22291070875428
777,164,14845,-101.71334540389059
777,165,14933,-74.26810950505623
777,166,15050,-252.06994121667307
777,167,15128,-87.61727904492055
777,168,15220,-77.0194409053521
777,169,15311,-307.73696633596296
777,170,15411,-151.54319713058848
777,171,15485,-62.481235588931284
777,172,15570,-250.85558367649702
777,173,15688,-201.9211384692091
777,174,15785,-148.86871506356488
777,175,15868,-124.2743927979438
777,176,15940,-80.07736686591419
777,177,16015,-74.03310968601545
777,178,16102,-147.6581218866012
777,179,16196,-111.99581181324942
777,180,16304,-84.64151100971296
777,181,16415,-274.1708432016587
777,182,16516,-381.14473762371557
777,183,16603,-77.40787571107825
777,184,16668,-90.11287341242002
777,185,16781,-87.14449641129556
777,186,16873,-92.34890935366818
777,187,16976,-108.08513540940744
777,188,17063,-125.61402619445983
777,189,17133,-71.15691089493399
777,190,17203,-93.0222165300013
777,191,17273,-72.40638983681222
777,192,17376,-255.04764947469295
777,193,17465,-132.980947544776
777,194,17587,-157.7531052051582
777,195,17706,-263.92681501326865
777,196,17804,-68.1696073943266
777,197,17879,-97.65279421623995
777,198,17990,-213.73358757883545
777,199,18067,-87.91698603505137
777,200,18172,-262.5993144320955
777,201,18240,-58.35653416916513
777,202,18317,-129.6681456431934
777,203,18427,-140.16757037063684
777,204,18506,-121.98376567513957
777,205,18591,-87.779090099153
777,206,18666,-174.09413263654807
777,207,18790,-203.53578821509313
