seed,episode,total_steps,return
123,1,70,-75.39625864635937
123,2,149,-217.35740525419982
123,3,252,-142.95540335893813
123,4,365,-169.48221414612027
123,5,452,-355.78891743096517
123,6,550,-119.60706680143748
123,7,659,-144.30109229622116
123,8,724,-224.32006856174306
123,9,792,-114.37363842094878
123,10,916,-140.14383417031348
123,11,1030,-222.8805720851389
123,12,1102,-70.08235748476356
123,13,1214,-397.8263741391478
123,14,1305,-145.36291314503924
123,15,1399,-216.78950163476202
123,16,1478,-167.64377612080463
123,17,1591,-273.1036264345719
123,18,1675,-137.4346955292852
123,19,1771,-361.8439885692304
123,20,1890,-229.59542085702745
123,21,1988,-348.659461577923
123,22,2069,-210.16229793413152
123,23,2173,-325.4587952054457
123,24,2253,-276.558023536376
123,25,2312,-189.15036157507492
123,26,2388,-297.4410455886252
123,27,2491,-146.5943020698954
123,28,2599,-204.16282669806316
123,29,2686,-128.29996189247086
123,30,2798,-180.81916196756242
123,31,2902,-333.9377444797842
123,32,2985,-329.3653021852491
123,33,3051,-90.15274397465315
123,34,3190,-222.59667075182142
123,35,3328,-55.79582853694728
123,36,3389,-91.36373378350781
123,37,3486,4.813159598500221
123,38,3631,-337.280011188491
123,39,3730,-134.29932380851713
123,40,3840,-429.1243753946286
123,41,3937,-126.09201666075285
123,42,4026,-393.56119581326215
123,43,4121,-64.16404342946078
123,44,4248,-339.4407433915156
123,45,4329,-83.5291297312343
123,46,4392,-79.39025568735003
123,47,4496,-127.2507235133702
123,48,4581,-176.78173545498743
123,49,4670,-125.6825481427318
123,50,4754,-97.65787153584428
123,51,4816,-71.31392805756686
123,52,4902,-251.49439508190648
123,53,4991,-433.73159942225215
123,54,5064,-224.94670221166106
123,55,5154,-305.90149090105933
123,56,5276,-399.86619293456357
123,57,5352,-97.16682447127221
123,58,5460,-450.69260988860856
123,59,5595,-369.41559948826193
123,60,5724,-258.2095270749313
123,61,5883,-318.51813592485865
123,62,5959,-165.86655179846642
123,63,6040,-108.05914832289774
123,64,6133,-95.0114775728152
123,65,6240,-378.86574862046393
123,66,6432,-228.62749469514435
123,67,6514,-221.00872211589092
123,68,6652,-83.45614437853571
123,69,6816,-166.7462953077553
123,70,6899,-18.4378754885698
123,71,7010,-399.83485832739797
123,72,7129,-242.84461264714477
123,73,7228,-235.55409278544911
123,74,7368,-279.26854217153755
123,75,7451,-367.9157911937503
123,76,7574,-313.40132840177284
123,77,7707,-165.0692544960552
123,78,7800,-327.9160691758194
123,79,7880,-147.17954140967376
123,80,7967,-75.96210398332859
123,81,8101,-414.98826587701427
123,82,8178,-126.300410816203
123,83,8304,-423.57044979919397
123,84,8379,-84.57814182261768
123,85,8485,-221.00878387649485
123,86,8565,-260.0422408922965
123,87,8643,-490.96139339089063
123,88,8742,-271.5160930461914
123,89,8857,-119.97228928502618
123,90,8962,-162.64443122647097
123,91,9058,-112.83579813621674
123,92,9145,-452.5759201192893
123,93,9258,-372.5050583696793
123,94,9407,-119.75221948994219
123,95,9511,-265.5146366489489
123,96,9675,-186.98991194714165
123,97,9798,-184.62654784139153
123,98,9885,-224.29676332544787
123,99,9959,-35.95585115923312
123,100,10052,-366.3737578907797
123,101,10145,-344.09489878061845
123,102,10272,-274.6458520048282
123,103,10376,-503.9311453738858
123,104,10469,-82.08367526205211
123,105,10571,-101.72461196384006
123,106,10651,-21.83045609208648
123,107,10797,-581.95095685621
123,108,10886,-198.045404482996
123,109,11019,-211.9742798496522
123,110,11127,-551.7230676513077
123,111,11238,-267.68426425948167
123,112,11343,-324.15556900205377
123,113,11420,-93.53539210706866
123,114,11523,-278.12806984257793
123,115,11608,-432.79739923871796
123,116,11736,-186.46047937050662
123,117,11823,-380.27573102818195
123,118,11910,-337.28661902433987
123,119,12071,-624.5944037579493
123,120,12206,-106.2390734725619
123,121,12385,-607.140278197915
123,122,12497,-534.3112145344965
123,123,12603,15.339798712741882
123,124,12699,-51.852197725921364
123,125,12879,-642.5427798370165
123,126,12986,-284.8143303492969
123,127,13080,-504.8606355254515
123,128,13169,-457.7637653520538
123,129,13234,-151.04630100862852
123,130,13351,-181.5427259475332
123,131,13496,-96.42791077487738
123,132,13584,-60.838251939226595
123,133,13690,-322.023009419802
123,134,13827,-628.7887865995533
123,135,13924,-229.32712256260166
123,136,13989,-52.50143469946774
123,137,14165,-725.0497414619423
123,138,14251,-279.8899394845265
123,139,14383,-600.8128043579088
123,140,14499,-290.39459751746824
123,141,14641,-571.7169484334204
123,142,14751,-462.7564563911752
123,143,14842,-236.92491466201466
123,144,14938,-197.8112459099682
123,145,15039,-470.1559926135726
123,146,15107,-364.4143674861066
123,147,15196,-512.0519388423359
123,148,15288,-504.95454359182503
123,149,15364,-389.5303967751508
123,150,15511,-696.8086743891478
123,151,15613,-632.893918001642
123,152,15695,-554.0407945893651
123,153,15886,-387.69528531593124
123,154,15983,-619.4472447752671
123,155,16115,-571.7814658230895
123,156,16249,-674.7286942048787
123,157,16348,-195.74217525697395
123,158,16461,-154.26600972708962
123,159,16601,-415.0729596472224
123,160,16692,-481.38052826683406
123,161,16795,-157.36632671236572
123,162,17000,-629.676192798477
123,163,17077,-568.6181447834927
123,164,17151,-89.22032918023139
123,165,17329,-702.9333858396785
123,166,17421,-185.44962763540627
123,167,17498,-565.4155599972509
123,168,17648,-485.0011629012713
123,169,17765,-382.0909617571374
123,170,17978,-499.5690372567223
123,171,18091,-341.18253301828923
123,172,18166,-443.6627585919376
123,173,18265,-694.5729139039651
123,174,18363,1.9471096448764342
123,175,18469,-27.95955491651594
123,176,18601,-467.89171700858964
123,177,18725,-353.9863621438549
123,178,18809,-491.56556804542714
123,179,18986,-561.3778228076292
123,180,19086,-371.8056809561193
123,181,19180,-284.9777787814398
123,182,19279,-400.2154375859655
123,183,19387,-319.4930233302464
123,184,19524,-398.77164688836314
123,185,19642,-417.90144105899134
123,186,19839,-631.8905008807895
