seed,episode,total_steps,return
42,1,117,-202.6622534426204
42,2,195,-106.93091941532997
42,3,291,-386.2655204813356
42,4,377,-103.99455223558925
42,5,444,-79.61299900714188
42,6,550,-506.75854039800834
42,7,637,-270.79544256876557
42,8,757,-423.37247513093786
42,9,829,-209.2851668285583
42,10,917,-372.3330848903421
42,11,980,-92.77789948773412
42,12,1080,-144.5874618794763
42,13,1154,-89.55087554555675
42,14,1232,-242.98245697465677
42,15,1300,-91.73286217001363
42,16,1395,-398.76969530594266
42,17,1469,-244.35918943970424
42,18,1558,-220.46648704713706
42,19,1680,-126.25144614683424
42,20,1778,-122.77555226734972
42,21,1852,-98.07124645766096
42,22,1938,-81.82104041371613
42,23,1997,-135.55105588295945
42,24,2095,-398.74692065024925
42,25,2186,-402.2031143137771
42,26,2292,-324.3403543837169
42,27,2389,-241.50825348253994
42,28,2504,-338.66521233217514
42,29,2569,-54.33047956772635
42,30,2672,-154.33899218586777
42,31,2762,-105.51790508981772
42,32,2886,-143.62622983838116
42,33,3009,-52.76893421685311
42,34,3086,-350.9041896055559
42,35,3160,-75.91760055227738
42,36,3246,-85.41644802015652
42,37,3355,-245.8819163924078
42,38,3417,-205.57704864122573
42,39,3489,-98.58275122613476
42,40,3634,-531.8327711969266
42,41,3691,-296.9248216720854
42,42,3764,-125.08031364351265
42,43,3840,-82.44739536100832
42,44,3945,-218.0794656334304
42,45,4023,-88.60526676661412
42,46,4090,-108.81128973554695
42,47,4162,-139.57225015394118
42,48,4239,-180.15971930011455
42,49,4344,-285.1669074504896
42,50,4447,-353.8182964398495
42,51,4539,-53.90887463781419
42,52,4642,-178.1635467594392
42,53,4709,-208.2639097771115
42,54,4823,-100.08027391116363
42,55,4911,-130.40534972397097
42,56,5029,-184.86930928663986
42,57,5133,-187.31264911719174
42,58,5211,-147.16400065564721
42,59,5316,-228.05625812474813
42,60,5403,24.376589248715902
42,61,5500,-230.1815195837897
42,62,5630,-418.1357178145896
42,63,5732,-174.13587810230473
42,64,5825,46.84003460148645
42,65,5906,-153.49487335021365
42,66,5983,-315.5745676950404
42,67,6049,-96.885848618828
42,68,6117,-78.73343913853611
42,69,6222,-263.06200420990274
42,70,6303,-145.95740223920257
42,71,6405,-292.097677219035
42,72,6470,-85.96442827376484
42,73,6539,-84.87468184619317
42,74,6612,-98.32107714155515
42,75,6721,-174.95455921652632
42,76,6822,-275.26434395548665
42,77,6905,-131.1821389229232
42,78,7000,-113.03467025262225
42,79,7072,-165.51232993584907
42,80,7171,-334.7890048789227
42,81,7234,-84.98286701425924
42,82,7313,28.02499744392071
42,83,7386,-88.57836576374781
42,84,7502,-131.16056565807355
42,85,7603,-184.46042952441087
42,86,7687,-236.0045370017462
42,87,7797,-153.81334490935438
42,88,7889,-173.9650757476228
42,89,7956,-109.89049296931226
42,90,8024,-79.07049433417288
42,91,8158,-138.04856797942568
42,92,8265,-309.9664242641576
42,93,8340,-97.72782080027758
42,94,8435,-373.6819494401377
42,95,8533,-229.150900874765
42,96,8621,-290.56674857171964
42,97,8701,-92.67291927658408
42,98,8828,-147.58132168602972
42,99,8910,-142.5135663481194
42,100,9014,-221.0778508783362
42,101,9111,-254.02249887736824
42,102,9209,-308.91094870101415
42,103,9272,-141.4135821034248
42,104,9364,-129.01045158144694
42,105,9459,-302.27256562244895
42,106,9517,-87.79650799096748
42,107,9607,-94.6300746229786
42,108,9698,-328.8889874667723
42,109,9797,-305.25152462510806
42,110,9882,-118.45335191140964
42,111,9989,-312.1528026011923
42,112,10126,-0.47680900218453814
42,113,10204,-109.23953775554088
42,114,10277,-274.1557198461157
42,115,10386,-336.62254678614806
42,116,10494,-133.54927204152256
42,117,10559,-84.56171078497745
42,118,10646,-248.9587557617208
42,119,10738,-120.58942023708487
42,120,10823,-348.8574562031109
42,121,10945,-112.40802727633385
42,122,11028,-141.15508158046376
42,123,11117,-341.2572936116893
42,124,11206,-81.1655226229547
42,125,11321,-121.29035814711368
42,126,11387,-104.00568653569037
42,127,11470,-118.92826041040733
42,128,11548,-115.24277940958359
42,129,11615,-237.99976962261536
42,130,11697,-127.48077467228742
42,131,11773,-212.436378411385
42,132,11836,-123.88964412118703
42,133,11913,-288.6622425115861
42,134,12007,-417.7044276262612
42,135,12071,-100.78280611915868
42,136,12163,-147.89667574383427
42,137,12296,-143.4628954010737
42,138,12377,-133.87145136951818
42,139,12493,-109.06366001828259
42,140,12624,-47.80201619449587
42,141,12728,-516.0782526969409
42,142,12820,-430.5733017120018
42,143,12883,-85.11614940202332
42,144,12964,-277.52621293611065
42,145,13065,-403.5001047834374
42,146,13172,-270.4129371713662
42,147,13319,-114.94396838961245
42,148,13402,-170.83530014829375
42,149,13510,-203.7437155674258
42,150,13648,-306.4690191258542
42,151,13724,-65.998372275247
42,152,13820,-429.151621184561
42,153,13912,-76.31540740676321
42,154,14005,-381.19884701337946
42,155,14107,-126.64401097437835
42,156,14168,-219.94897291615067
42,157,14279,-133.36427725990262
42,158,14396,-280.66870768120566
42,159,14493,-301.0813399103476
42,160,14565,-209.26608388210883
42,161,14636,-117.99378475693364
42,162,14729,-435.2403277161374
42,163,14794,-201.89853865452403
42,164,14910,-124.56676185535366
42,165,14968,-78.44539126504219
42,166,15076,-9.05646483312296
42,167,15151,-241.8373091271361
42,168,15229,-115.1096285734806
42,169,15333,-249.18053017577225
42,170,15447,-454.30478181630235
42,171,15540,-133.5056510620168
42,172,15616,-88.9920739322377
42,173,15705,-321.6532446006202
42,174,15799,-165.9103471426451
42,175,15923,-167.3911582609009
42,176,16021,-237.9360643349174
42,177,16144,-115.07280938187205
42,178,16290,-161.81600272807816
42,179,16358,-104.64911977987309
42,180,16432,-121.21918403435072
42,181,16498,-71.59362633959917
42,182,16582,-430.43433175606896
42,183,16666,-221.98691197815918
42,184,16761,-288.807711719579
42,185,16833,-107.69364368020075
42,186,16911,-78.8846090782035
42,187,16975,-111.8987567433273
42,188,17117,-316.4168883335415
42,189,17197,-97.1323077028586
42,190,17265,-129.75284733947598
42,191,17372,-154.2338933588671
42,192,17450,-94.936901477003
42,193,17546,-314.89471461220876
42,194,17623,-7.52175697136407
42,195,17685,-156.24355071542678
42,196,17759,-131.57569379652665
42,197,17840,-452.04796018050166
42,198,17942,-197.55049877531653
42,199,18030,-253.50484681011363
42,200,18155,-221.01749512778224
42,201,18280,-249.5289253974548
42,202,18389,-95.56312475374851
42,203,18548,-162.96147028749425
42,204,18614,-123.81888425230358
42,205,18679,-127.02938469306255
42,206,18774,-405.2173100520164
42,207,18836,-57.98202562312132
42,208,18923,-154.75620880790393
42,209,19025,-439.71233177691033
42,210,19085,-61.02012637276519
42,211,19176,-450.0910520298851
42,212,19277,-118.10614440007635
