seed,episode,total_steps,return
123,1,19,19.0
123,2,34,15.0
123,3,64,30.0
123,4,100,36.0
123,5,137,37.0
123,6,168,31.0
123,7,190,22.0
123,8,227,37.0
123,9,255,28.0
123,10,274,19.0
123,11,297,23.0
123,12,309,12.0
123,13,332,23.0
123,14,344,12.0
123,15,356,12.0
123,16,389,33.0
123,17,401,12.0
123,18,423,22.0
123,19,434,11.0
123,20,455,21.0
123,21,486,31.0
123,22,503,17.0
123,23,529,26.0
123,24,557,28.0
123,25,582,25.0
123,26,609,27.0
123,27,624,15.0
123,28,635,11.0
123,29,650,15.0
123,30,673,23.0
123,31,686,13.0
123,32,701,15.0
123,33,735,34.0
123,34,782,47.0
123,35,807,25.0
123,36,817,10.0
123,37,839,22.0
123,38,851,12.0
123,39,866,15.0
123,40,879,13.0
123,41,896,17.0
123,42,922,26.0
123,43,944,22.0
123,44,961,17.0
123,45,1001,40.0
123,46,1025,24.0
123,47,1035,10.0
123,48,1054,19.0
123,49,1073,19.0
123,50,1104,31.0
123,51,1117,13.0
123,52,1151,34.0
123,53,1164,13.0
123,54,1174,10.0
123,55,1192,18.0
123,56,1206,14.0
123,57,1228,22.0
123,58,1244,16.0
123,59,1263,19.0
123,60,1326,63.0
123,61,1367,41.0
123,62,1379,12.0
123,63,1409,30.0
123,64,1422,13.0
123,65,1445,23.0
123,66,1456,11.0
123,67,1467,11.0
123,68,1518,51.0
123,69,1553,35.0
123,70,1569,16.0
123,71,1585,16.0
123,72,1596,11.0
123,73,1609,13.0
123,74,1620,11.0
123,75,1661,41.0
123,76,1674,13.0
123,77,1691,17.0
123,78,1728,37.0
123,79,1745,17.0
123,80,1758,13.0
123,81,1768,10.0
123,82,1802,34.0
123,83,1812,10.0
123,84,1827,15.0
123,85,1835,8.0
123,86,1850,15.0
123,87,1873,23.0
123,88,1888,15.0
123,89,1909,21.0
123,90,1923,14.0
123,91,1934,11.0
123,92,1960,26.0
123,93,1969,9.0
123,94,2003,34.0
123,95,2028,25.0
123,96,2043,15.0
123,97,2086,43.0
123,98,2104,18.0
123,99,2136,32.0
123,100,2160,24.0
123,101,2171,11.0
123,102,2185,14.0
123,103,2200,15.0
123,104,2216,16.0
123,105,2266,50.0
123,106,2302,36.0
123,107,2324,22.0
123,108,2332,8.0
123,109,2356,24.0
123,110,2399,43.0
123,111,2419,20.0
123,112,2441,22.0
123,113,2454,13.0
123,114,2469,15.0
123,115,2493,24.0
123,116,2519,26.0
123,117,2533,14.0
123,118,2551,18.0
123,119,2566,15.0
123,120,2585,19.0
123,121,2597,12.0
123,122,2616,19.0
123,123,2659,43.0
123,124,2672,13.0
123,125,2681,9.0
123,126,2706,25.0
123,127,2722,16.0
123,128,2735,13.0
123,129,2745,10.0
123,130,2765,20.0
123,131,2791,26.0
123,132,2808,17.0
123,133,2861,53.0
123,134,2886,25.0
123,135,2895,9.0
123,136,2909,14.0
123,137,2933,24.0
123,138,2948,15.0
123,139,2960,12.0
123,140,2981,21.0
123,141,3016,35.0
123,142,3031,15.0
123,143,3047,16.0
123,144,3058,11.0
123,145,3069,11.0
123,146,3078,9.0
123,147,3103,25.0
123,148,3123,20.0
123,149,3132,9.0
123,150,3141,9.0
123,151,3152,11.0
123,152,3183,31.0
123,153,3232,49.0
123,154,3257,25.0
123,155,3274,17.0
123,156,3305,31.0
123,157,3323,18.0
123,158,3333,10.0
123,159,3354,21.0
123,160,3368,14.0
123,161,3389,21.0
123,162,3407,18.0
123,163,3425,18.0
123,164,3444,19.0
123,165,3457,13.0
