seed,episode,total_steps,return
123,1,19,19.0
123,2,34,15.0
123,3,64,30.0
123,4,100,36.0
123,5,137,37.0
123,6,168,31.0
123,7,190,22.0
123,8,227,37.0
123,9,255,28.0
123,10,274,19.0
123,11,297,23.0
123,12,309,12.0
123,13,332,23.0
123,14,344,12.0
123,15,356,12.0
123,16,376,20.0
123,17,385,9.0
123,18,400,15.0
123,19,422,22.0
123,20,454,32.0
123,21,502,48.0
123,22,528,26.0
123,23,549,21.0
123,24,582,33.0
123,25,628,46.0
123,26,646,18.0
123,27,663,17.0
123,28,686,23.0
123,29,698,12.0
123,30,729,31.0
123,31,742,13.0
123,32,758,16.0
123,33,779,21.0
123,34,796,17.0
123,35,809,13.0
123,36,824,15.0
123,37,836,12.0
123,38,849,13.0
123,39,867,18.0
123,40,890,23.0
123,41,902,12.0
123,42,922,20.0
123,43,944,22.0
123,44,957,13.0
123,45,973,16.0
123,46,998,25.0
123,47,1019,21.0
123,48,1033,14.0
123,49,1076,43.0
123,50,1099,23.0
123,51,1133,34.0
123,52,1147,14.0
123,53,1157,10.0
123,54,1175,18.0
123,55,1201,26.0
123,56,1211,10.0
123,57,1225,14.0
123,58,1241,16.0
123,59,1259,18.0
123,60,1282,23.0
123,61,1300,18.0
123,62,1313,13.0
123,63,1364,51.0
123,64,1376,12.0
123,65,1423,47.0
123,66,1447,24.0
123,67,1458,11.0
123,68,1472,14.0
123,69,1511,39.0
123,70,1525,14.0
123,71,1545,20.0
123,72,1569,24.0
123,73,1585,16.0
123,74,1594,9.0
123,75,1628,34.0
123,76,1637,9.0
123,77,1650,13.0
123,78,1676,26.0
123,79,1707,31.0
123,80,1744,37.0
123,81,1756,12.0
123,82,1767,11.0
123,83,1818,51.0
123,84,1835,17.0
123,85,1849,14.0
123,86,1947,98.0
123,87,1974,27.0
123,88,1999,25.0
123,89,2012,13.0
123,90,2025,13.0
123,91,2043,18.0
123,92,2053,10.0
123,93,2063,10.0
123,94,2092,29.0
123,95,2104,12.0
123,96,2130,26.0
123,97,2143,13.0
123,98,2159,16.0
123,99,2169,10.0
123,100,2183,14.0
123,101,2203,20.0
123,102,2222,19.0
123,103,2253,31.0
123,104,2265,12.0
123,105,2282,17.0
123,106,2300,18.0
123,107,2320,20.0
123,108,2332,12.0
123,109,2356,24.0
123,110,2399,43.0
123,111,2419,20.0
123,112,2432,13.0
123,113,2452,20.0
123,114,2462,10.0
123,115,2480,18.0
123,116,2501,21.0
123,117,2519,18.0
123,118,2541,22.0
123,119,2584,43.0
123,120,2635,51.0
123,121,2648,13.0
123,122,2668,20.0
123,123,2685,17.0
123,124,2708,23.0
123,125,2739,31.0
123,126,2768,29.0
123,127,2793,25.0
123,128,2858,65.0
123,129,2886,28.0
123,130,2895,9.0
123,131,2941,46.0
123,132,2962,21.0
123,133,3000,38.0
123,134,3011,11.0
123,135,3030,19.0
123,136,3053,23.0
123,137,3064,11.0
123,138,3077,13.0
123,139,3091,14.0
123,140,3108,17.0
123,141,3132,24.0
123,142,3142,10.0
123,143,3154,12.0
123,144,3172,18.0
123,145,3184,12.0
123,146,3202,18.0
123,147,3214,12.0
123,148,3230,16.0
123,149,3253,23.0
123,150,3263,10.0
123,151,3288,25.0
123,152,3300,12.0
123,153,3323,23.0
123,154,3334,11.0
123,155,3358,24.0
123,156,3389,31.0
123,157,3408,19.0
123,158,3435,27.0
123,159,3449,14.0
123,160,3476,27.0
123,161,3510,34.0
123,162,3532,22.0
123,163,3544,12.0
123,164,3558,14.0
123,165,3591,33.0
123,166,3625,34.0
