seed,episode,total_steps,return
777,1,145,-391.9509902044953
777,2,291,-278.8833487923391
777,3,404,-215.97148585113007
777,4,501,-276.70871341047655
777,5,649,-273.4666355876152
777,6,803,-321.32215723073557
777,7,957,-303.31535357691575
777,8,1115,-229.1245306748212
777,9,1193,-144.55884257742008
777,10,1303,-92.92319494559665
777,11,1394,-109.7959942915646
777,12,1527,-296.0320302400811
777,13,1651,-122.12512066109883
777,14,1725,-58.763891979823725
777,15,1854,-63.37336347320914
777,16,2084,-246.59732123743325
777,17,2176,-64.41750870124307
777,18,2354,-356.23133901342237
777,19,2422,-127.94863905597518
777,20,2542,-213.69112899820095
777,21,2632,-148.5380109531465
777,22,2938,-103.37349637952495
777,23,3084,-105.21835935003458
777,24,3342,-525.074715744096
777,25,3446,-20.59603629224165
777,26,3529,-257.90507922432505
777,27,3657,-234.06006597464258
777,28,3754,-61.057291728832425
777,29,3902,-483.4031304370284
777,30,4050,-141.9652846191019
777,31,4186,-283.7004085870416
777,32,4329,-288.41709880684994
777,33,4511,-381.6228954775138
777,34,4716,-465.97951326800694
777,35,4913,-379.30529988219354
777,36,5075,-268.40936603499756
777,37,5241,-595.4817369147349
777,38,5328,-247.88955571994734
777,39,5586,-469.25937674866003
777,40,5759,-300.52845563427235
777,41,5884,-447.6059395625374
777,42,6070,-357.10601961675206
777,43,6238,-340.5688054747648
777,44,6342,-274.6723295426455
777,45,6489,-352.37884777530763
777,46,6648,-489.0623019324829
777,47,6786,-535.042208484811
777,48,6935,-536.0617309406514
777,49,7180,-829.0774230301554
777,50,7306,-157.92579413691303
777,51,7621,-216.7304809511491
777,52,7777,-631.3546035014375
777,53,7975,-307.9151392906384
777,54,8061,-281.3183406497918
777,55,8312,-529.343728433038
777,56,8399,-402.0818410574724
777,57,8601,-548.7457534742432
777,58,8747,-326.78859739982784
777,59,9003,-111.3470405582683
777,60,9155,-358.4619776826412
777,61,9294,-326.1805807281703
777,62,9496,-746.1932743111577
777,63,9703,-358.4968417332198
777,64,9838,-289.6469049113168
777,65,10051,-369.6310377984441
777,66,10225,-123.83964248735315
777,67,10469,-467.4565398040768
777,68,10639,-662.7692487186174
777,69,10849,-492.9192698484494
777,70,11044,-493.44497097983026
777,71,11207,-347.51894259273854
777,72,11384,-572.7956701032577
777,73,11523,-301.25956681988794
777,74,11677,-377.05895519650863
777,75,11857,-229.73827206647834
777,76,12122,-670.6010071126409
777,77,12226,-369.99243024685313
777,78,12379,-52.424272824486934
777,79,12547,-317.14625402374713
777,80,12720,-257.69686371570674
777,81,12889,-564.6202711454451
777,82,13088,-249.07301231027492
777,83,13210,-290.8226264969119
777,84,13323,-243.79019659931063
777,85,13537,-128.87972726166495
777,86,13882,-261.62596620361865
777,87,13996,-3.660878664810781
777,88,14144,-338.8745575717936
777,89,14257,8.176061235645733
777,90,14413,-279.74256461951313
777,91,14580,-338.6865382754378
777,92,14724,-110.7893566815622
777,93,14911,-269.1966197296812
777,94,15081,-380.00344744812503
777,95,15190,-206.60972368957738
777,96,15330,-324.70458628712584
777,97,15555,-352.5200148265694
777,98,15665,-277.73527452813795
777,99,15851,-253.46204879592312
777,100,15995,-606.8384243597482
777,101,16213,-487.9382152003132
777,102,16345,-312.84967578946106
777,103,16508,-275.2893995920471
777,104,16638,-284.8168345323261
777,105,16905,-823.5108775622466
777,106,17059,-562.2921821186856
777,107,17365,-544.8584664531759
777,108,17623,-368.2381981158587
777,109,17971,-836.2431197348735
777,110,18231,-522.6599416124313
777,111,18413,-220.38865044233114
777,112,18651,-449.316258420281
777,113,18878,-462.8656872329493
777,114,19036,-309.154482696793
777,115,19352,-447.5616149823334
777,116,19546,-513.0131584823542
777,117,19747,-304.99924127932917
777,118,19916,-352.68559955296826
777,119,20048,-301.91403338142266
777,120,20211,-307.8592221053202
777,121,20417,-224.81822477048865
777,122,20540,-300.5753899156651
777,123,20710,-334.58379708942675
777,124,20899,-358.5175008755125
777,125,21028,-223.9965892789147
777,126,21124,-21.39679491410891
777,127,21266,-261.5594252627069
777,128,21423,-189.99477160944005
777,129,21624,-488.10018889273
777,130,21768,-359.6886598935047
777,131,21896,-78.45324100272222
777,132,22179,-210.53846400872044
777,133,22296,-320.3244435240146
777,134,22642,-556.8488518403956
777,135,22806,-348.2284691772103
777,136,22922,-443.75423793256476
777,137,23045,-467.6823237688222
777,138,23144,-171.53171907886156
777,139,23263,-247.22546831343354
777,140,23390,-330.25444991183053
777,141,23500,-422.1574954547451
777,142,23603,-162.58883050625727
777,143,23723,-373.6146871081413
777,144,23859,-381.1655965594127
777,145,24057,-218.80639798867261
777,146,24206,-363.5337240603036
777,147,24328,-20.01829135271643
777,148,24487,-410.1827899790916
777,149,24603,-306.89539322515304
777,150,24871,-691.794944951532
777,151,25002,-232.40797444163223
777,152,25121,-284.95998521069293
777,153,25363,-408.9342660481305
777,154,25496,-325.377088744008
777,155,25665,-240.80694276664568
777,156,25811,-400.76779812399576
777,157,26153,-269.6328253064562
777,158,26277,-313.7268838614732
777,159,26405,-304.5985602872938
777,160,26522,-287.28392202086377
777,161,26694,-347.62149497258537
777,162,26955,-314.08217909731053
777,163,27120,-458.5010147181652
777,164,27244,-266.00527909423863
777,165,27389,-558.0873184773529
777,166,27546,-513.9266264354562
777,167,27661,-265.2104439868628
777,168,27797,-488.8542670006067
777,169,27924,-223.10208320237624
777,170,28054,-345.760969148585
777,171,28163,-262.70068509024753
777,172,28317,-368.01398770816417
777,173,28461,-479.8068147977485
777,174,28632,-420.7754108248052
777,175,28776,-198.54379632412056
777,176,28878,-79.14188395011588
777,177,29002,-286.48607095989615
777,178,29147,-220.61597764676466
777,179,29300,-449.2388231439558
777,180,29418,-569.4345615515629
777,181,29512,-400.85830855638477
777,182,29614,-451.5807925158303
777,183,29711,-362.29417535193534
777,184,29807,-222.1640723619309
777,185,29919,-299.79768715669684
777,186,30051,-383.35378878966094
777,187,30195,-340.93342058867125
777,188,30359,-245.0300061901204
777,189,30591,-294.964070373632
777,190,30715,-196.27465094276863
777,191,30809,10.014368921741323
777,192,30961,-337.54965210655934
777,193,31158,-250.1538078959534
777,194,31373,-155.45549209658486
777,195,31600,-35.43981187311
777,196,31826,-263.1357941523553
777,197,31933,-225.01910270714507
777,198,32124,-235.8045854919988
777,199,32326,-256.6191485802578
777,200,32478,-274.65396066187736
777,201,32565,-265.0253502752485
777,202,32734,-71.26836828815615
777,203,32837,-347.2746458102265
