seed,episode,total_steps,return
123,1,69,-86.51496025152987
123,2,146,-371.119519857027
123,3,267,-302.2015940560173
123,4,359,-223.840244072152
123,5,448,-297.17898348241465
123,6,540,-398.6753635173887
123,7,638,-124.90978521542264
123,8,701,-81.56500660027648
123,9,772,-88.8083347613322
123,10,921,-342.7225668682514
123,11,1031,-121.4850982918353
123,12,1110,-87.40518007378073
123,13,1222,-157.78871262018822
123,14,1309,-150.10365597464659
123,15,1409,-137.57213367019602
123,16,1498,-98.94640413800612
123,17,1620,-235.12980422128814
123,18,1701,-252.5811911207177
123,19,1811,-155.61880282414614
123,20,1916,-469.56415890093365
123,21,2016,-379.475896858348
123,22,2088,-161.8929632808883
123,23,2182,-162.82975029642776
123,24,2268,-183.59629961959212
123,25,2330,-7.030408197302023
123,26,2416,-120.66995449556123
123,27,2521,-235.2654219273317
123,28,2624,-249.89381768078846
123,29,2712,-74.81207568930905
123,30,2830,-150.3531185847666
123,31,2929,-314.2600385411008
123,32,3023,-345.9124377871747
123,33,3098,-69.9402390824893
123,34,3224,-299.8755183547214
123,35,3341,-614.7132246303147
123,36,3407,-65.20769535389827
123,37,3484,-150.48224715986322
123,38,3578,-149.8548391754175
123,39,3664,-306.5012179174295
123,40,3773,-185.92937537006682
123,41,3858,-84.22327493024115
123,42,3955,-279.3141423795545
123,43,4054,-39.44953318593842
123,44,4157,-101.63692786495157
123,45,4230,-62.798082927430244
123,46,4296,-91.61831105944185
123,47,4392,-207.32360342676122
123,48,4462,-232.9143461255202
123,49,4536,-116.30911106643435
123,50,4625,-116.32295500705445
123,51,4683,-255.68629956767504
123,52,4761,-103.52401616506049
123,53,4859,-282.28007608296224
123,54,4923,-170.36761225873732
123,55,5008,-90.67359749935535
123,56,5119,-255.7660838219345
123,57,5206,-222.76798860182285
123,58,5308,-98.73378660608114
123,59,5413,-301.8932098807728
123,60,5520,-132.75501782638813
123,61,5630,-161.92060965336321
123,62,5697,-98.88193875588816
123,63,5765,-99.12439999310637
123,64,5854,-109.19347682746714
123,65,5963,-238.95539175464336
123,66,6095,-181.36913944775682
123,67,6181,-125.56229249007959
123,68,6339,38.175486299998624
123,69,6475,-153.95221669018957
123,70,6546,-97.03696138027696
123,71,6633,-108.22163026077607
123,72,6728,-122.86426209208906
123,73,6820,-369.2041201077187
