seed,episode,total_steps,return
777,1,104,-454.93907130880643
777,2,206,-398.82004843272534
777,3,294,-139.58089135943573
777,4,381,-300.67082740918624
777,5,486,-188.85174884782083
777,6,605,-83.15282423276014
777,7,733,-64.9769554176497
777,8,873,-378.9771790236764
777,9,947,-206.57545337048674
777,10,1065,-12.352805767546613
777,11,1154,-101.4345756000877
777,12,1260,-310.62039539249463
777,13,1352,-127.59671831011299
777,14,1422,-84.85217081761625
777,15,1491,-275.95592139332837
777,16,1610,-138.19762006017072
777,17,1730,-86.49674395434307
777,18,1833,-144.20651002862226
777,19,1895,-58.20495173588167
777,20,2007,-503.2433921640432
777,21,2077,-183.87061859357175
777,22,2202,-380.42125655096055
777,23,2326,-123.57162681101647
777,24,2433,-218.48468245282191
777,25,2500,-134.11989402691464
777,26,2571,-152.43837323983684
777,27,2672,-309.13149132569316
777,28,2780,-215.4878329864792
777,29,2894,-109.89392225853956
777,30,2963,-217.04648225503965
777,31,3036,-90.97889562547627
777,32,3115,-100.40340066674636
777,33,3225,-122.17570682968683
777,34,3347,-232.24128163520447
777,35,3447,-183.65320343854285
777,36,3569,-591.7889891980079
777,37,3675,-315.73996224210873
777,38,3736,-180.333554419196
777,39,3828,-295.07944014362033
777,40,3933,-117.27466343310763
777,41,4016,-90.54015542409867
777,42,4079,-64.38050163235295
777,43,4177,-346.0502030885122
777,44,4239,-58.278795907017184
777,45,4318,-234.8931938446456
777,46,4428,-104.42538560787334
777,47,4522,-341.8980175991511
777,48,4634,-147.7239021149041
777,49,4760,-309.2325339500194
777,50,4828,-340.55340725023615
777,51,4902,-92.48859575902829
777,52,4986,-170.03506268701992
777,53,5067,-61.41060331390962
777,54,5129,-108.82149494288628
777,55,5213,-125.58238506561565
777,56,5312,-279.26514326593133
777,57,5434,-109.32507661132718
777,58,5540,-73.70933615873457
777,59,5632,-183.99311351067118
777,60,5742,-278.79780782842704
777,61,5822,-137.02251898486782
777,62,5944,-106.33412702999648
777,63,6051,-313.6966115252273
777,64,6118,-141.95350296109936
777,65,6212,-181.34800916205322
777,66,6299,-277.44907760947495
777,67,6449,-141.18597964100852
777,68,6534,-111.80376061412926
777,69,6627,-163.1366785332081
777,70,6719,-125.57046845588982
777,71,6813,-322.45823414101864
777,72,6915,-201.98496965232275
777,73,7017,-17.0688578595405
777,74,7173,-112.05078927736164
777,75,7273,-125.39442135843319
777,76,7403,-122.80493147615577
777,77,7489,-236.1568429096964
777,78,7566,-119.1932581992472
777,79,7679,-111.37848330515648
777,80,7743,-55.166624684662125
777,81,7885,-178.67283600120845
777,82,7992,-94.9060457719368
777,83,8065,-82.76691644406597
777,84,8145,-111.43552526114553
777,85,8254,-136.79062899032016
777,86,8328,-107.98075775961891
777,87,8393,-77.96875101173119
777,88,8523,-40.08055079978017
777,89,8596,-61.45958023371641
777,90,8687,-311.1379577308279
777,91,8807,-377.1621152138907
777,92,8886,-101.37373129506851
777,93,8956,-87.21755480262146
777,94,9053,-136.7956989606402
777,95,9136,-86.81368508667536
777,96,9212,-229.9760046231795
777,97,9323,-480.904409386507
777,98,9401,-313.4645280039667
777,99,9522,-72.52385343395548
777,100,9632,-211.98717175820093
777,101,9740,-415.4226152056045
777,102,9852,-153.81104302132542
777,103,9936,-96.48823508513428
777,104,10002,-55.05404082301043
777,105,10120,-51.566875090406356
777,106,10253,-108.08830825555034
777,107,10333,-76.6121965125627
777,108,10435,-195.93954189554552
777,109,10577,-76.21734758209202
777,110,10674,-214.9926774797744
777,111,10755,-97.9928881563441
777,112,10864,-129.5964001790035
777,113,11017,-33.39614810958936
777,114,11095,-74.82540846500157
777,115,11160,-183.82877027607026
777,116,11259,-97.66341655356987
777,117,11391,-355.378111380198
777,118,11472,-270.3857616591787
777,119,11561,-120.06404268941203
777,120,11643,-104.91901226167944
777,121,11726,-152.3846735933804
777,122,11793,-210.85227799173987
777,123,11914,-25.46671293100019
777,124,12031,-188.08800873038183
777,125,12113,-90.49923873410017
777,126,12174,-90.4497328527096
777,127,12276,-309.83054496930595
777,128,12367,-230.20003465538576
777,129,12476,10.85529208346469
777,130,12603,-161.96774055196897
777,131,12669,-180.74976845971463
777,132,12742,-127.30092166455381
777,133,12812,-242.65376916960406
777,134,12890,-114.12699215480812
777,135,12975,-167.388476512044
777,136,13080,-82.62455283899783
777,137,13176,-135.81953149400923
777,138,13251,-289.73204141426197
777,139,13322,-75.25607877702322
777,140,13403,-205.44067219715666
777,141,13467,-178.4069156034513
777,142,13531,-90.80008790998654
777,143,13620,-107.16619605539785
777,144,13751,-70.09999765698996
777,145,13840,-248.34788382949543
777,146,13971,-181.70562725953704
777,147,14050,-90.53591181516144
777,148,14187,-184.74933436703753
777,149,14264,-86.61736467329841
777,150,14352,-147.6955056773187
777,151,14427,-111.10256714202254
777,152,14521,-57.86731167794993
777,153,14641,-173.49503412043083
777,154,14705,-144.75581893801186
777,155,14779,-98.55114139381696
777,156,14850,-178.1384915260017
777,157,14919,-81.84500115982345
777,158,14978,-88.43276541327008
777,159,15078,-111.66903425133276
777,160,15153,-73.93442394983154
777,161,15275,-182.54420569012376
777,162,15357,-57.25993037805428
777,163,15444,-110.3707119818742
777,164,15531,-365.6928739428882
777,165,15641,-261.4635413583553
777,166,15770,-261.82764783989063
777,167,15840,-109.32411076835058
777,168,15942,-106.90345304676441
777,169,16017,-77.42851519846583
777,170,16097,-205.80481509119664
777,171,16181,-151.80808284798096
777,172,16291,-207.90875695484527
777,173,16410,-208.85429916041463
777,174,16512,-107.1483455336114
777,175,16589,-128.20870570819216
777,176,16650,-107.80401301383529
777,177,16729,-70.16098206093679
777,178,16837,-57.28129783584164
777,179,16955,-19.718463730950305
777,180,17053,-136.18012860026244
777,181,17170,-254.10063904414827
777,182,17321,-135.78370898431794
777,183,17415,-104.19765676630361
777,184,17499,-13.352650714143394
777,185,17640,-319.931432134805
777,186,17728,-132.4688465889853
777,187,17816,-160.07422655621417
777,188,17912,-112.52395675541645
777,189,17978,-96.99917065206587
777,190,18060,-87.62835478705557
777,191,18130,-46.288104568318886
777,192,18259,14.571451962990054
777,193,18367,-99.38360241424053
777,194,18493,-228.74027360849527
777,195,18579,-93.89135024694811
777,196,18689,-134.49396414298343
777,197,18773,-64.14990343801608
777,198,18880,-191.18605727206852
777,199,18976,-93.72916008239142
777,200,19073,-112.10481048124743
777,201,19149,-140.08694689829977
777,202,19256,-68.67800916731737
777,203,19373,-154.8945508051238
777,204,19466,-96.96034008070069
777,205,19552,-76.7179207512465
777,206,19631,-141.68178350001025
777,207,19783,-209.1451259554343
