seed,episode,total_steps,return
123,1,69,-86.51496025152987
123,2,146,-371.119519857027
123,3,267,-302.2015940560173
123,4,359,-223.840244072152
123,5,448,-297.17898348241465
123,6,540,-398.6753635173887
123,7,638,-124.90978521542264
123,8,701,-81.56500660027648
123,9,772,-88.8083347613322
123,10,921,-342.7225668682514
123,11,1031,-121.4850982918353
123,12,1110,-87.40518007378073
123,13,1222,-157.78871262018822
123,14,1309,-150.10365597464659
123,15,1409,-132.29902735892404
123,16,1498,-98.94640413800612
123,17,1620,-235.12980422128814
123,18,1701,-252.5811911207177
123,19,1811,-155.61880282414614
123,20,1916,-469.56415890093365
123,21,2016,-379.475896858348
123,22,2088,-161.8929632808883
123,23,2182,-162.82975029642776
123,24,2268,-183.59629961959212
123,25,2330,-7.030408197302023
123,26,2416,-120.66995449556123
123,27,2521,-235.2654219273317
123,28,2624,-249.89381768078846
123,29,2712,-74.81207568930905
123,30,2830,-150.3531185847666
123,31,2929,-314.2600385411008
123,32,3023,-345.9124377871747
123,33,3098,-69.9402390824893
123,34,3224,-299.8755183547214
123,35,3341,-614.7132246303147
123,36,3407,-65.20769535389827
123,37,3484,-150.48224715986322
123,38,3603,-303.5213413082549
123,39,3694,-257.54679208901234
123,40,3811,-261.11415483927726
123,41,3888,-84.1449181536835
123,42,3997,-186.8503990020299
123,43,4096,-243.41940504109954
123,44,4205,-128.9152213086275
123,45,4273,-93.6078055292911
123,46,4340,-79.54477332579584
123,47,4432,-80.5399964244726
123,48,4498,-89.0061597617034
123,49,5498,70.67460821427906
123,50,5577,-96.03129023764197
123,51,5643,-40.28180351530912
123,52,5727,-119.13918487225182
123,53,5842,-208.24582909190644
123,54,5915,-67.09312882705994
123,55,5991,-119.75876435237521
123,56,6103,-416.84078073440037
123,57,6185,-104.98826727974613
123,58,6307,-148.4901552404277
123,59,6424,-98.35988458525915
123,60,6534,-162.32441783062376
123,61,6639,-316.7207282816894
123,62,6707,-115.38941308426104
123,63,6779,-202.36452361528347
123,64,6873,-146.36817245837034
123,65,6979,-160.92691943249207
123,66,7098,-189.86941077429395
123,67,7203,-132.86334910752853
123,68,7310,-241.76960239918986
123,69,7422,-188.55804175118385
123,70,7486,-85.91614496521609
123,71,7579,-310.16934288006235
123,72,7670,-191.69467850439554
123,73,7769,-380.00452685304106
