seed,episode,total_steps,return
777,1,107,-104.08521517773993
777,2,197,-207.1225320559695
777,3,290,-331.10642230074063
777,4,385,-99.28450459044878
777,5,493,-264.73668804641517
777,6,600,-90.39057697384693
777,7,749,-126.88831822649965
777,8,871,-354.1404263509463
777,9,979,-209.12291373712563
777,10,1059,-94.78520963202396
777,11,1137,-131.41636360720742
777,12,1273,-259.4108997241374
777,13,1367,-118.01625876466704
777,14,1446,4.780087978473617
777,15,1525,-275.3473505657805
777,16,1645,-237.40768589900367
777,17,1713,-116.73176229087466
777,18,1829,-140.2189625983913
777,19,1892,-104.47297709639464
777,20,1975,-121.45656075162923
777,21,2037,-163.36937800235515
777,22,2157,-330.1484999260482
777,23,2247,-115.4102889862264
777,24,2357,-124.0822004588569
777,25,2439,-65.23976475159546
777,26,2512,-210.11103246301053
777,27,2611,-220.2199610639224
777,28,2680,-154.942876425999
777,29,2793,-202.55572562350022
777,30,2866,-208.10217759403014
777,31,2948,-67.77303431351493
777,32,3020,-156.05635827745917
777,33,3120,-407.8230148884099
777,34,3237,-164.29285450826097
777,35,3316,-183.83537785260603
777,36,3425,-395.3310448767876
777,37,3544,-101.53760187511237
777,38,3605,-146.92337960230157
777,39,3722,-185.3262650666899
777,40,3818,-166.06348864915327
777,41,3890,-130.53367925248463
777,42,3993,-0.19971293549981795
777,43,4095,-177.891512384665
777,44,4162,-37.144235714368406
777,45,4236,-154.20152864152038
777,46,4333,-390.6943740028565
777,47,4416,-293.28527782654726
777,48,4536,-299.3145105793516
777,49,4638,-193.69883016739274
777,50,4711,-18.67767645796333
777,51,4782,-136.21796317685812
777,52,4859,-186.3011258627272
777,53,4944,-126.95919127492124
777,54,5013,-108.27342639086643
777,55,5083,-120.9433351956616
777,56,5187,-212.89498801023217
777,57,5319,-241.4940813121691
777,58,5420,-301.22605134127724
777,59,5500,-102.58729788968846
777,60,5600,-301.99080901077895
777,61,5685,-130.63646079935035
777,62,5804,-115.05657695116602
777,63,5918,-115.19107581599499
777,64,5985,-138.6684335772955
777,65,6099,-98.3122155645747
777,66,6168,-97.730320518914
777,67,6294,-394.67398691187174
777,68,6366,-151.2738542579201
777,69,6459,-309.1922925985663
777,70,6560,-100.9893432775596
777,71,6671,-204.67834423398284
777,72,6770,-277.5983641479238
777,73,6843,-120.14565315320627
777,74,6947,-63.905707939060946
777,75,7060,-239.64914565455726
777,76,7198,-80.37145629725649
777,77,7268,-166.7307074120028
777,78,7343,-70.94420491564574
777,79,7456,-283.4365747627978
777,80,7531,-23.97031136538648
777,81,7622,-473.3110585276723
777,82,7741,-319.99462122934426
777,83,7819,-81.69194544727915
777,84,7896,-156.85569765538355
777,85,7999,-137.11050813341427
777,86,8068,-196.50548238447698
777,87,8129,-119.70059715596238
777,88,8232,-126.23052031068408
777,89,8300,-66.21512330708119
777,90,8375,-210.76938283780663
777,91,8477,-107.14296215363328
777,92,8554,-285.4416915100854
777,93,8651,0.07517290252637565
777,94,8716,-95.15593756264855
777,95,8792,-167.66378017804777
777,96,8875,-100.36819285872038
777,97,8969,-285.43930355886744
777,98,9048,-87.55736570396616
777,99,9138,-301.1554001971167
777,100,9261,-159.74962705595448
777,101,9330,-240.45461784108286
777,102,9415,-103.32844720140653
777,103,9485,-214.19971797841782
777,104,9548,-78.11754347814528
777,105,9675,-459.6236314398179
777,106,9809,-229.4304327256756
777,107,9878,-308.5454877512313
777,108,10001,-194.10427789559816
777,109,10124,-512.9419305851042
777,110,10228,-443.1580382605633
777,111,10309,-91.72726036537048
777,112,10398,-567.6949191954955
777,113,10497,-389.2302689114354
777,114,10574,-114.99919907655155
777,115,10635,-103.55211178832705
777,116,10727,-210.43739232146916
777,117,10840,-52.67321492844415
777,118,10927,-96.21775199628703
777,119,11018,-275.14881270135896
777,120,11091,-186.86615449224973
