seed,episode,total_steps,return
123,1,19,19.0
123,2,34,15.0
123,3,64,30.0
123,4,100,36.0
123,5,137,37.0
123,6,168,31.0
123,7,190,22.0
123,8,227,37.0
123,9,255,28.0
123,10,274,19.0
123,11,297,23.0
123,12,309,12.0
123,13,332,23.0
123,14,344,12.0
123,15,361,17.0
123,16,401,40.0
123,17,418,17.0
123,18,445,27.0
123,19,464,19.0
123,20,490,26.0
123,21,524,34.0
123,22,544,20.0
123,23,553,9.0
123,24,575,22.0
123,25,604,29.0
123,26,629,25.0
123,27,641,12.0
123,28,688,47.0
123,29,703,15.0
123,30,721,18.0
123,31,737,16.0
123,32,751,14.0
123,33,773,22.0
123,34,787,14.0
123,35,810,23.0
123,36,829,19.0
123,37,845,16.0
123,38,874,29.0
123,39,894,20.0
123,40,917,23.0
123,41,939,22.0
123,42,949,10.0
123,43,968,19.0
123,44,996,28.0
123,45,1008,12.0
123,46,1023,15.0
123,47,1034,11.0
123,48,1070,36.0
123,49,1090,20.0
123,50,1124,34.0
123,51,1136,12.0
123,52,1172,36.0
123,53,1203,31.0
123,54,1230,27.0
123,55,1257,27.0
123,56,1285,28.0
123,57,1331,46.0
123,58,1347,16.0
123,59,1394,47.0
123,60,1407,13.0
123,61,1448,41.0
123,62,1459,11.0
123,63,1472,13.0
123,64,1489,17.0
123,65,1511,22.0
123,66,1521,10.0
123,67,1542,21.0
123,68,1552,10.0
123,69,1573,21.0
123,70,1588,15.0
123,71,1599,11.0
123,72,1609,10.0
123,73,1620,11.0
123,74,1719,99.0
123,75,1743,24.0
123,76,1757,14.0
123,77,1766,9.0
123,78,1802,36.0
123,79,1812,10.0
123,80,1828,16.0
123,81,1839,11.0
123,82,1884,45.0
123,83,1928,44.0
123,84,1949,21.0
123,85,1969,20.0
123,86,1992,23.0
123,87,2027,35.0
123,88,2075,48.0
123,89,2096,21.0
123,90,2118,22.0
123,91,2138,20.0
123,92,2151,13.0
123,93,2167,16.0
123,94,2180,13.0
123,95,2207,27.0
123,96,2226,19.0
123,97,2256,30.0
123,98,2276,20.0
123,99,2301,25.0
123,100,2319,18.0
123,101,2335,16.0
123,102,2359,24.0
123,103,2377,18.0
123,104,2389,12.0
123,105,2442,53.0
123,106,2451,9.0
123,107,2465,14.0
123,108,2511,46.0
123,109,2539,28.0
123,110,2562,23.0
123,111,2575,13.0
123,112,2596,21.0
123,113,2609,13.0
123,114,2628,19.0
123,115,2658,30.0
123,116,2673,15.0
123,117,2683,10.0
123,118,2713,30.0
123,119,2723,10.0
123,120,2740,17.0
123,121,2758,18.0
123,122,2781,23.0
123,123,2821,40.0
123,124,2831,10.0
123,125,2852,21.0
123,126,2881,29.0
123,127,2897,16.0
123,128,2945,48.0
123,129,2966,21.0
123,130,2983,17.0
123,131,3004,21.0
123,132,3015,11.0
123,133,3031,16.0
123,134,3046,15.0
123,135,3061,15.0
123,136,3072,11.0
123,137,3083,11.0
123,138,3097,14.0
123,139,3121,24.0
123,140,3129,8.0
123,141,3139,10.0
123,142,3155,16.0
123,143,3204,49.0
123,144,3226,22.0
123,145,3266,40.0
123,146,3280,14.0
123,147,3294,14.0
123,148,3315,21.0
123,149,3333,18.0
123,150,3361,28.0
123,151,3380,19.0
123,152,3398,18.0
123,153,3417,19.0
123,154,3452,35.0
123,155,3466,14.0
123,156,3492,26.0
123,157,3506,14.0
123,158,3532,26.0
123,159,3546,14.0
123,160,3561,15.0
123,161,3585,24.0
123,162,3595,10.0
123,163,3613,18.0
123,164,3625,12.0
123,165,3642,17.0
